intent,text
greeting,hello
greeting,hi
greeting,hey
greeting,good morning
greeting,good afternoon
greeting,good evening
greeting,hi there
greeting,hello there
greeting,greetings
greeting,hey there
greeting,hi bot
greeting,hello bot
greeting,start
greeting,hey bot
greeting,hi assistant
greeting,hello assistant
greeting,good day
greeting,howdy
greeting,yo
greeting,sup
greeting,hola
greeting,namaste
greeting,hey buddy
greeting,hi friend
greeting,hello friend
greeting,wassup
greeting,what's up
greeting,heya
greeting,hiya
greeting,hey dude
greeting,hi mate
greeting,hello mate
greeting,good to see you
greeting,nice to meet you
greeting,pleased to meet you
greeting,how are you
greeting,how do you do
greeting,how's it going
greeting,what's going on
greeting,how have you been
greeting,long time no see
greeting,good to talk to you
greeting,glad to chat
greeting,happy to help
greeting,at your service
greeting,here to help
greeting,ready to assist
greeting,how may I help
greeting,what can I do for you
greeting,need assistance
greeting,looking for help
admission,how to apply
admission,steps for admission
admission,admission process
admission,admission procedure
admission,how can I get admission
admission,how to get admitted
admission,admission steps
admission,admission details
admission,tell me about admission
admission,admission information
admission,how to enroll
admission,enrollment process
admission,how do I enroll
admission,enrollment procedure
admission,admission form
admission,application form
admission,how to fill admission form
admission,admission requirements
admission,what is admission process
admission,explain admission process
admission,admission guidelines
admission,admission criteria
admission,admission rules
admission,how to join
admission,joining process
admission,how to become a student
admission,student admission
admission,new admission
admission,fresh admission
admission,admission for new students
admission,first time admission
admission,admission instructions
admission,admission help
admission,need admission details
admission,want to get admission
admission,planning to get admission
admission,thinking of admission
admission,interested in admission
admission,admission query
admission,admission question
admission,tell about admission
admission,admission info please
admission,guide me for admission
admission,help with admission
admission,admission support
admission,admission assistance
admission,how does admission work
admission,what is the admission process
fees,what are the fees
fees,fee structure
fees,tuition fees
fees,college fees
fees,course fees
fees,how much does it cost
fees,cost of course
fees,total fees
fees,fees details
fees,fees information
fees,tell me about fees
fees,fee payment
fees,payment details
fees,fees amount
fees,how much to pay
fees,what is the fee
fees,course cost
fees,program fees
fees,fees for admission
fees,admission fees
fees,registration fees
fees,enrollment fees
fees,semester fees
fees,annual fees
fees,yearly fees
fees,monthly fees
fees,installment fees
fees,fees breakdown
fees,detailed fees
fees,fees components
fees,what fees do I need to pay
fees,total cost
fees,complete fees
fees,all fees
fees,fees required
fees,payment structure
fees,fee schedule
fees,when to pay fees
fees,fees payment schedule
fees,fees due date
fees,how to pay fees
fees,fees payment method
fees,online fees payment
fees,fees payment options
fees,can I pay in installments
fees,fees refund
eligibility,am I eligible
eligibility,eligibility criteria
eligibility,eligibility requirements
eligibility,who can apply
eligibility,qualification required
eligibility,minimum qualification
eligibility,educational qualification
eligibility,eligibility conditions
eligibility,can I apply
eligibility,am I qualified
eligibility,do I qualify
eligibility,eligibility details
eligibility,tell me eligibility
eligibility,eligibility information
eligibility,what are the requirements
